subsector;evac_node;safe_nodes;safe_node_priorities;upgrade_options_b_c_priorities
St Albans;51634;51258;NA;NA
Bents Basin;20825;11119, 15136;15136;15136
Wallacia South;18245;11119, 15136;15136;15136
Wallacia;18303;11119, 15136;15136;15136
South Creek A4;10204;15136;NA;NA
Glenmore Park;1944;11119, 15136;15136;15136
Mulgoa North;20844;11119, 15136;15136;15136
Leonay West;22988;15136;NA;NA
Regentville;1942;11119, 15136;15136;15136
Leonay South;22988;15136;NA;NA
Leonay North;22988;15136;NA;NA
Leonay Central;22988;15136;NA;NA
South Penrith;1936;11119, 15136;15136;15136
Jamisontown South;1937;11119, 15136;15136;15136
Emu Plains West;1928;15136;NA;NA
Emu Plains South;16574;15136;NA;NA
Jamisontown West;16205;11119, 15136;15136;15136
Jamisontown East;1934;11119, 15136;15136;15136
Penrith D;23004;11119, 15136;15136;15136
Peach Tree Creek East;1932;11119, 15136;15136;15136
Peach Tree Creek West;20362;11119, 15136;15136;15136
Peach Tree Creek South;16205;11119, 15136;15136;15136
Emu Plains East;16574;15136;NA;NA
Emu Plains Central East;1926;15136;NA;NA
Emu Plains Central West;1926;15136;NA;NA
North Penrith C;1927;11119, 15136;11119;11119
North Penrith B;1925;11119, 15136;11119;11119
North Penrith A;25239;11119, 15136;11119;11119
Emu Plains North;1921;40394;NA;NA
Emu Heights;1919;40394;NA;NA
Castlereagh A;29373;11119, 15136;11119;11119
Castlereagh B;29372;11119, 15136;11119;11119
Castlereagh C;29379;11119, 15136;11119;11119
Cranebrook;1912;11119, 15136;NA;NA
South Creek B 1;23930;13082;NA;NA
Llandilo;1841;11119, 15136;11119;11119
Eastern Creek B West;22392;13082;NA;NA
Eastern Creek C;2233;13082;NA;NA
Vineyard;2210;10958, 11139;10958;10958
Box Hill South;2811;10958, 11139;10958;10958
Box Hill North;2810;10958, 11139;10958;10958
Cattai;15394;10946;NA;NA
North Richmond Lowlands;2032;24690;NA;NA
North Richmond;2032;24690;NA;NA
Grose Wold;2036;24690;NA;NA
Yarramundi North;2048;40089;NA;NA
Yarramundi;2048;40089;NA;NA
Agnes Banks South;1910;11119, 15136;11119;11119
Londonderry;1838;11119, 15136;11119;13082, 11119
Berkshire Park;1840;11119, 15136;11119;13082, 11119
Vineyard North;2050;10958, 11139;10958;10958
Windsor Downs;21001;11119, 15136;11119;11119
