time	time	departures_all	arrivals_all	stuck_all	en-route_all	departures_car	arrivals_car	stuck_car	en-route_car
00:00:00	0	926	0	0	926	926	0	0	926
00:05:00	300	885	0	0	1811	885	0	0	1811
00:10:00	600	751	12	0	2550	751	12	0	2550
00:15:00	900	707	115	0	3142	707	115	0	3142
00:20:00	1200	771	361	0	3552	771	361	0	3552
00:25:00	1500	769	505	0	3816	769	505	0	3816
00:30:00	1800	639	505	0	3950	639	505	0	3950
00:35:00	2100	647	533	0	4064	647	533	0	4064
00:40:00	2400	705	534	0	4235	705	534	0	4235
00:45:00	2700	665	566	0	4334	665	566	0	4334
00:50:00	3000	561	590	0	4305	561	590	0	4305
00:55:00	3300	720	543	0	4482	720	543	0	4482
01:00:00	3600	621	630	0	4473	621	630	0	4473
01:05:00	3900	598	646	0	4425	598	646	0	4425
01:10:00	4200	582	595	0	4412	582	595	0	4412
01:15:00	4500	487	618	0	4281	487	618	0	4281
01:20:00	4800	466	600	0	4147	466	600	0	4147
01:25:00	5100	510	597	0	4060	510	597	0	4060
01:30:00	5400	442	599	0	3903	442	599	0	3903
01:35:00	5700	440	579	0	3764	440	579	0	3764
01:40:00	6000	477	508	0	3733	477	508	0	3733
01:45:00	6300	486	517	0	3702	486	517	0	3702
01:50:00	6600	403	495	0	3610	403	495	0	3610
01:55:00	6900	476	495	0	3591	476	495	0	3591
02:00:00	7200	404	466	0	3529	404	466	0	3529
02:05:00	7500	413	458	0	3484	413	458	0	3484
02:10:00	7800	428	453	0	3459	428	453	0	3459
02:15:00	8100	403	495	0	3367	403	495	0	3367
02:20:00	8400	351	430	0	3288	351	430	0	3288
02:25:00	8700	380	385	0	3283	380	385	0	3283
02:30:00	9000	389	377	0	3295	389	377	0	3295
02:35:00	9300	427	366	0	3356	427	366	0	3356
02:40:00	9600	354	380	0	3330	354	380	0	3330
02:45:00	9900	380	381	0	3329	380	381	0	3329
02:50:00	10200	380	380	0	3329	380	380	0	3329
02:55:00	10500	380	380	0	3329	380	380	0	3329
03:00:00	10800	380	380	0	3329	380	380	0	3329
03:05:00	11100	343	380	0	3292	343	380	0	3292
03:10:00	11400	325	380	0	3237	325	380	0	3237
03:15:00	11700	358	380	0	3215	358	380	0	3215
03:20:00	12000	362	372	0	3205	362	372	0	3205
03:25:00	12300	270	380	0	3095	270	380	0	3095
03:30:00	12600	270	376	0	2989	270	376	0	2989
03:35:00	12900	270	357	0	2902	270	357	0	2902
03:40:00	13200	255	380	0	2777	255	380	0	2777
03:45:00	13500	270	375	0	2672	270	375	0	2672
03:50:00	13800	251	380	0	2543	251	380	0	2543
03:55:00	14100	275	380	0	2438	275	380	0	2438
04:00:00	14400	446	370	0	2514	446	370	0	2514
04:05:00	14700	440	380	0	2574	440	380	0	2574
04:10:00	15000	440	357	0	2657	440	357	0	2657
04:15:00	15300	510	366	0	2801	510	366	0	2801
04:20:00	15600	389	305	0	2885	389	305	0	2885
04:25:00	15900	297	299	0	2883	297	299	0	2883
04:30:00	16200	330	380	0	2833	330	380	0	2833
04:35:00	16500	440	379	0	2894	440	379	0	2894
04:40:00	16800	435	369	0	2960	435	369	0	2960
04:45:00	17100	424	378	0	3006	424	378	0	3006
04:50:00	17400	339	385	0	2960	339	385	0	2960
04:55:00	17700	166	354	0	2772	166	354	0	2772
05:00:00	18000	133	440	0	2465	133	440	0	2465
05:05:00	18300	225	440	0	2250	225	440	0	2250
05:10:00	18600	238	440	0	2048	238	440	0	2048
05:15:00	18900	225	440	0	1833	225	440	0	1833
05:20:00	19200	313	254	0	1892	313	254	0	1892
05:25:00	19500	511	335	0	2068	511	335	0	2068
05:30:00	19800	455	349	0	2174	455	349	0	2174
05:35:00	20100	227	382	0	2019	227	382	0	2019
05:40:00	20400	280	330	0	1969	280	330	0	1969
05:45:00	20700	274	283	0	1960	274	283	0	1960
05:50:00	21000	215	278	0	1897	215	278	0	1897
05:55:00	21300	170	335	0	1732	170	335	0	1732
06:00:00	21600	74	335	0	1471	74	335	0	1471
06:05:00	21900	258	335	0	1394	258	335	0	1394
06:10:00	22200	398	335	0	1457	398	335	0	1457
06:15:00	22500	372	279	0	1550	372	279	0	1550
06:20:00	22800	222	280	0	1492	222	280	0	1492
06:25:00	23100	329	388	0	1433	329	388	0	1433
06:30:00	23400	369	366	0	1436	369	366	0	1436
06:35:00	23700	340	395	0	1381	340	395	0	1381
06:40:00	24000	340	362	0	1359	340	362	0	1359
06:45:00	24300	340	334	0	1365	340	334	0	1365
06:50:00	24600	384	285	0	1464	384	285	0	1464
06:55:00	24900	301	285	0	1480	301	285	0	1480
07:00:00	25200	185	266	0	1399	185	266	0	1399
07:05:00	25500	202	340	0	1261	202	340	0	1261
07:10:00	25800	225	257	0	1229	225	257	0	1229
07:15:00	26100	225	225	0	1229	225	225	0	1229
07:20:00	26400	258	186	0	1301	258	186	0	1301
07:25:00	26700	225	225	0	1301	225	225	0	1301
07:30:00	27000	225	225	0	1301	225	225	0	1301
07:35:00	27300	126	225	0	1202	126	225	0	1202
07:40:00	27600	110	225	0	1087	110	225	0	1087
07:45:00	27900	77	225	0	939	77	225	0	939
07:50:00	28200	0	165	0	774	0	165	0	774
07:55:00	28500	44	110	0	708	44	110	0	708
08:00:00	28800	110	110	0	708	110	110	0	708
08:05:00	29100	110	110	0	708	110	110	0	708
08:10:00	29400	110	110	0	708	110	110	0	708
08:15:00	29700	132	110	0	730	132	110	0	730
08:20:00	30000	170	110	0	790	170	110	0	790
08:25:00	30300	110	110	0	790	110	110	0	790
