SUBSECTOR	GAUGE_ID	ALT_AHD
Glossodia	24	33.292984
Emu Plains North	48	24.805900
South Creek B 11	2039	17.894900
South Creek B 13	1180	14.290000
Cranebrook	1257	31.804600
South Creek B 12	2038	18.752800
Pitt Town Bottoms	105	10.719600
Leonay North	1226	35.320000
North Richmond	230	26.036400
Leonay South	805	38.915200
Pitt Town South	702	16.161100
Pitt Town North	717	16.778000
Singletons Mill	1520	8.533946
Emu Plains East 1	1224	32.940000
Webbs Creek	551	22.889231
Agnes Banks Lowlands North	974	16.284500
Cornwallis	292	14.185800
Mulgoa South	443	25.700000
North Windsor	722	9.378900
North Penrith A	336	26.487500
Pitt Town South East B	1052	12.358800
Londonderry	1163	26.740000
Jamisontown West	816	27.377200
Peach Tree Creek West	837	26.790000
Cattai (West) TBC	526	26.680600
East Kurrajong	165	23.343624
South Creek B 4	2036	16.476300
South Creek B 1	1439	22.414700
South Creek B 2	2008	15.933300
Windsor Central	732	21.360100
Gunderman	1523	2.116785
South Creek B 7	2054	16.252700
South Creek B 8	2006	21.920600
South Creek B 5	2053	18.846600
South Creek B 6	2037	20.220700
Emu Heights	1446	41.914600
Central Colo	190	35.545367
Grose Wold	216	25.535000
Agnes Banks Lowlands South	900	16.629600
Wisemans Ferry West	582	6.418701
Ebenezer	156	23.762151
Richmond A East	287	23.316500
Jamisontown South 1	349	29.050900
Wallacia East	1237	61.590000
Jamisontown South 3	1027	30.802200
Jamisontown South 2	341	29.626600
Jamisontown South 5	344	32.400400
Jamisontown South 4	348	31.396900
Oakville	531	25.039400
Richmond A Central	281	19.090000
Bligh Park West	943	21.543100
Uni West Syd (UWS)	1150	23.260000
Agnes Banks Lowlands East	889	22.373700
Wilberforce	131	26.978418
Richmond B	1148	24.310000
Little Cattai	639	16.125114
Colo Heights	459	16.796316
St Albans	661	0.000000
North Penrith B 6	853	28.579300
North Penrith B 5	2040	24.259700
North Penrith B 8	860	29.326700
North Penrith B 7	852	29.009100
Eastern Creek C	1211	26.331400
Wrights Creek	681	0.000000
Vineyard North 9	2032	20.623600
Vineyard North 7	2035	17.334700
Vineyard North 8	2028	18.381800
Vineyard North 5	1112	19.950000
Vineyard North 6	1113	19.170000
Emu Plains South 1	93	26.970600
Vineyard North 3	1121	18.950600
Penrith Lakes Central 1	1202	28.577600
Vineyard North 4	1120	24.060000
Penrith Lakes Central 2	1415	23.874000
Wallacia Weir	1511	33.900000
Emu Plains South 3	100	27.697700
Vineyard North 1	1424	19.703200
