ID	time	flooded
1000-10565	0.000000	0
1000-18863	0.000000	0
100000	0.000000	0
100000-100086	0.000000	0
100000-100410	0.000000	0
100001	0.000000	0
100001-100152	0.000000	0
100005-15156	0.000000	0
100007	0.000000	0
100007-100226	0.000000	0
100007-22990	0.000000	0
100008	0.000000	0
100008-22987	0.000000	0
100009-18254	0.000000	0
100015	0.000000	0
100015-16574	0.000000	0
100015-18268	0.000000	0
100015-20596	0.000000	0
100016	0.000000	0
100016-18253	0.000000	0
100016-18255	0.000000	0
100016-20595	0.000000	0
100049-100102	0.000000	0
100049-10981	0.000000	0
100049-20646	0.000000	0
100053	0.000000	0
100053-10989	0.000000	0
100053-18596	0.000000	0
100054	0.000000	0
100054-100334	0.000000	0
100055	0.000000	0
100055-100412	0.000000	0
100057	0.000000	0
100057-13983	0.000000	0
100057-18596	0.000000	0
100057-22323	0.000000	0
100062-51966	0.000000	0
100066-100067	0.000000	0
100066-100071	0.000000	0
100066-100340	0.000000	0
100067-100066	0.000000	0
100067-100325	0.000000	0
100069	0.000000	0
100069-50467	0.000000	0
100071	0.000000	0
100071-100066	0.000000	0
100072	0.000000	0
100072-100324	0.000000	0
100074	0.000000	0
100074-100075	0.000000	0
100074-100080	0.000000	0
100075-100074	0.000000	0
100075-100409	0.000000	0
100076	0.000000	0
100076-100080	0.000000	0
100078	0.000000	0
100078-10883	0.000000	0
100079-100406	0.000000	0
100079-52089	0.000000	0
100080	0.000000	0
100080-100074	0.000000	0
100080-100076	0.000000	0
100086-100000	0.000000	0
100086-50157	0.000000	0
100097	0.000000	0
100097-100436	0.000000	0
100097-100438	0.000000	0
1001-18837	0.000000	0
100102-100049	0.000000	0
100102-10979	0.000000	0
100102-10999	0.000000	0
100109	0.000000	0
100109-100111	0.000000	0
100110	0.000000	0
100110-100111	0.000000	0
100110-20683	0.000000	0
100111	0.000000	0
100111-100109	0.000000	0
100111-100110	0.000000	0
100115	0.000000	0
100115-20388	0.000000	0
100121	0.000000	0
100121-11056	0.000000	0
100121-25272	0.000000	0
100122	0.000000	0
100122-16212	0.000000	0
100123-100124	0.000000	0
100123-16212	0.000000	0
100123-16213	0.000000	0
100124-100123	0.000000	0
100124-100128	0.000000	0
100126	0.000000	0
100126-100245	0.000000	0
100126-100290	0.000000	0
100126-4940	0.000000	0
100127	0.000000	0
100127-15087	0.000000	0
100127-16214	0.000000	0
100128-100124	0.000000	0
100128-100271	0.000000	0
100135	0.000000	0
100135-22819	0.000000	0
100135-22959	0.000000	0
100136	0.000000	0
100136-18321	0.000000	0
100139-18253	0.000000	0
100142	0.000000	0
100142-18252	0.000000	0
100144-22582	0.000000	0
100145	0.000000	0
100145-15337	0.000000	0
100148	0.000000	0
100148-22584	0.000000	0
100151	0.000000	0
100151-100152	0.000000	0
100151-100179	0.000000	0
100152	0.000000	0
100152-100001	0.000000	0
100152-100151	0.000000	0
100158	0.000000	0
100158-20388	0.000000	0
100164	0.000000	0
100164-100165	0.000000	0
100164-23937	0.000000	0
100165-100164	0.000000	0
100165-3956	0.000000	0
100166	0.000000	0
100166-100167	0.000000	0
100167	0.000000	0
100167-100166	0.000000	0
100167-22392	0.000000	0
100169-15156	0.000000	0
100170	0.000000	0
100170-20852	0.000000	0
100174	0.000000	0
100174-100416	0.000000	0
100175	0.000000	0
100175-20852	0.000000	0
100177-16208	0.000000	0
100177-16209	0.000000	0
100179-100151	0.000000	0
100179-11055	0.000000	0
100180-100413	0.000000	0
100180-11492	0.000000	0
100180-18245	0.000000	0
100186	0.000000	0
100186-100422	0.000000	0
100187	0.000000	0
100187-100313	0.000000	0
100187-23937	0.000000	0
100189	0.000000	0
100189-100191	0.000000	0
100189-100423	0.000000	0
100190	0.000000	0
100190-4919	0.000000	0
100191-100189	0.000000	0
100191-4919	0.000000	0
100194-100424	0.000000	0
100194-100429	0.000000	0
1002-21299	0.000000	0
100209	0.000000	0
100209-10516	0.000000	0
100210	0.000000	0
100210-11089	0.000000	0
100211	0.000000	0
100211-100437	0.000000	0
100211-100441	0.000000	0
100211-100442	0.000000	0
100212	0.000000	0
100212-15812	0.000000	0
100212-15813	0.000000	0
100218-11066	0.000000	0
100218-12016	0.000000	0
100218-3965	0.000000	0
100222	0.000000	0
100222-15866	0.000000	0
100226	0.000000	0
100226-100007	0.000000	0
100228	0.000000	0
100228-16574	0.000000	0
100228-18261	0.000000	0
100228-18263	0.000000	0
100229	0.000000	0
100229-14176	0.000000	0
100233	0.000000	0
100233-18254	0.000000	0
100234-18254	0.000000	0
100238	0.000000	0
100238-18252	0.000000	0
100241	0.000000	0
100241-18008	0.000000	0
100242	0.000000	0
100242-100243	0.000000	0
100243	0.000000	0
100243-100242	0.000000	0
100243-16214	0.000000	0
100243-4940	0.000000	0
100245	0.000000	0
100245-100126	0.000000	0
100245-100289	0.000000	0
100245-15088	0.000000	0
100247	0.000000	0
100247-100414	0.000000	0
100248	0.000000	0
100248-100416	0.000000	0
100249	0.000000	0
100249-100415	0.000000	0
100250	0.000000	0
100250-18245	0.000000	0
100251-11058	0.000000	0
100252	0.000000	0
100252-100256	0.000000	0
100252-20682	0.000000	0
100256	0.000000	0
100256-100252	0.000000	0
100271-100128	0.000000	0
100285	0.000000	0
100285-18624	0.000000	0
100287	0.000000	0
100287-18321	0.000000	0
100288	0.000000	0
100288-15157	0.000000	0
100289	0.000000	0
100289-100245	0.000000	0
100289-100290	0.000000	0
100290-100126	0.000000	0
100290-100289	0.000000	0
100290-16214	0.000000	0
100292	0.000000	0
100292-16212	0.000000	0
100293-11087	0.000000	0
100295	0.000000	0
100295-18624	0.000000	0
1003-15519	0.000000	0
1003-22804	0.000000	0
100300	0.000000	0
100300-14481	0.000000	0
100301	0.000000	0
100301-13815	0.000000	0
100302	0.000000	0
100302-50073	0.000000	0
100303	0.000000	0
100303-100304	0.000000	0
100304	0.000000	0
100304-100303	0.000000	0
100304-100305	0.000000	0
100305	0.000000	0
100305-100304	0.000000	0
100305-51147	0.000000	0
100306	0.000000	0
100306-100307	0.000000	0
100306-51631	0.000000	0
100307	0.000000	0
100307-100306	0.000000	0
100307-100316	0.000000	0
100310-100311	0.000000	0
100311-15951	0.000000	0
100312-10444	0.000000	0
100312-29581	0.000000	0
100313	0.000000	0
100313-100187	0.000000	0
100313-100438	0.000000	0
100313-3956	0.000000	0
100314	0.000000	0
100314-10394	0.000000	0
100315	0.000000	0
100315-50073	0.000000	0
100316	0.000000	0
100316-100307	0.000000	0
100317	0.000000	0
100317-100319	0.000000	0
100317-10440	0.000000	0
100319-100317	0.000000	0
100319-14475	0.000000	0
100320-13983	0.000000	0
100320-13984	0.000000	0
100320-15359	0.000000	0
100321-12969	0.000000	0
100321-15340	0.000000	0
100322	0.000000	0
100322-18423	0.000000	0
100323-100324	0.000000	0
100324-100072	0.000000	0
100324-100323	0.000000	0
100324-100325	0.000000	0
100325-100067	0.000000	0
100325-100324	0.000000	0
100325-51628	0.000000	0
100326-100327	0.000000	0
100326-51631	0.000000	0
100327	0.000000	0
100327-100326	0.000000	0
100327-100328	0.000000	0
100328-100327	0.000000	0
100328-51632	0.000000	0
100329	0.000000	0
100329-100330	0.000000	0
100330-100329	0.000000	0
100330-100331	0.000000	0
100330-100333	0.000000	0
100331-100330	0.000000	0
100331-100332	0.000000	0
100331-13983	0.000000	0
100332	0.000000	0
100332-100331	0.000000	0
100332-100412	0.000000	0
100332-21225	0.000000	0
100333-100330	0.000000	0
100333-13793	0.000000	0
100334-100054	0.000000	0
100334-18607	0.000000	0
100335	0.000000	0
100335-51147	0.000000	0
100336-23340	0.000000	0
100337-50078	0.000000	0
100337-50438	0.000000	0
100338	0.000000	0
100338-50078	0.000000	0
100339-100340	0.000000	0
100339-52090	0.000000	0
100340	0.000000	0
100340-100066	0.000000	0
