id	subsector
0	Emu Plains North
1	Emu Plains North
2	Emu Plains North
3	Emu Plains North
4	Emu Plains North
5	Emu Plains North
6	Emu Plains North
7	Emu Plains North
8	Emu Plains North
9	Emu Plains North
10	Emu Plains North
11	Emu Plains North
12	Emu Plains North
13	Emu Plains North
14	Emu Plains North
15	Emu Plains North
16	Emu Plains North
17	Emu Plains North
18	Emu Plains North
19	Emu Plains North
20	Emu Plains North
21	Emu Plains North
22	Emu Plains North
23	Emu Plains North
24	Emu Plains North
25	Emu Plains North
26	Emu Plains North
27	Emu Plains North
28	Emu Plains North
29	Emu Plains North
30	Emu Plains North
31	Emu Plains North
32	Emu Plains North
33	Emu Plains North
34	Emu Plains North
35	Emu Plains North
36	Emu Plains North
37	Emu Plains North
38	Emu Plains North
39	Emu Plains North
40	Emu Plains North
41	Emu Plains North
42	Emu Plains North
43	Emu Plains North
44	Emu Plains North
45	Emu Plains North
46	Emu Plains North
47	Emu Plains North
48	Emu Plains North
49	Emu Plains North
50	Emu Plains North
51	Emu Plains North
52	Emu Plains North
53	Emu Plains North
54	Emu Plains North
55	Emu Plains North
56	Emu Plains North
57	Emu Plains North
58	Emu Plains North
59	Emu Plains North
60	Emu Plains North
61	Emu Plains North
62	Emu Plains North
63	Emu Plains North
64	Emu Plains North
65	Emu Plains North
66	Emu Plains North
67	Emu Plains North
68	Emu Plains North
69	Emu Plains North
70	Emu Plains North
71	Emu Plains North
72	Emu Plains North
73	Emu Plains North
74	Emu Plains North
75	Emu Plains North
76	Emu Plains North
77	Emu Plains North
78	Emu Plains North
79	Emu Plains North
80	Emu Plains North
81	Emu Plains North
82	Emu Plains North
83	Emu Plains North
84	Emu Plains North
85	Emu Plains North
86	Emu Plains North
87	Emu Plains North
88	Emu Plains North
89	Emu Plains North
90	Emu Plains North
91	Emu Plains North
92	Emu Plains North
93	Emu Plains North
94	Emu Plains North
95	Emu Plains North
96	Emu Plains North
97	Emu Plains North
98	Emu Plains North
99	Emu Plains North
100	Emu Plains North
101	Emu Plains North
102	Emu Plains North
103	Emu Plains North
104	Emu Plains North
105	Emu Plains North
106	Emu Plains North
107	Emu Plains North
108	Emu Plains North
109	Emu Plains North
110	Emu Plains North
111	Emu Plains North
112	Emu Plains North
113	Emu Plains North
114	Emu Plains North
115	Emu Plains North
116	Emu Plains North
117	Emu Plains North
118	Emu Plains North
119	Emu Plains North
120	Emu Plains North
121	Emu Plains North
122	Emu Plains North
123	Emu Plains North
124	Emu Plains North
125	Emu Plains North
126	Emu Plains North
127	Emu Plains North
128	Emu Plains North
129	Emu Plains North
130	Emu Plains North
131	Emu Plains North
132	Emu Plains North
133	Emu Plains North
134	Emu Plains North
135	Emu Plains North
136	Emu Plains North
137	Emu Plains North
138	Emu Plains North
139	Emu Plains North
140	Emu Plains North
141	Emu Plains North
142	Emu Plains North
143	Emu Plains North
144	Emu Plains North
145	Emu Plains North
146	Emu Plains North
147	Emu Plains North
148	Emu Plains North
149	Emu Plains North
150	Emu Plains North
151	Emu Plains North
152	Emu Plains North
153	Emu Plains North
154	Emu Plains North
155	Emu Plains North
156	Emu Plains North
157	Emu Plains North
158	Emu Plains North
159	Emu Plains North
160	Emu Plains North
161	Emu Plains North
162	Emu Plains North
163	Emu Plains North
164	Emu Plains North
165	Emu Plains North
166	Emu Plains North
167	Emu Plains North
168	Emu Plains North
169	Emu Plains North
170	Emu Plains North
171	Emu Plains North
172	Emu Plains North
173	Emu Plains North
174	Emu Plains North
175	Emu Plains North
176	Emu Plains North
177	Emu Plains North
178	Emu Plains North
179	Emu Plains North
180	Emu Plains North
181	Emu Plains North
182	Emu Plains North
183	Emu Plains North
184	Emu Plains North
185	Emu Plains North
