ITERATION	avg. EXECUTED	avg. WORST	avg. AVG	avg. BEST
0	-46.69707674205775	-46.69707674205775	-46.69707674205775	-46.69707674205775
1	-86.70600405281782	-87.45396369895904	-66.32362846995257	-45.193293240946495
2	-62.095827777051554	-88.49011177931814	-68.67802399732724	-48.24266527214885
3	-44.25901207129525	-88.60480019174649	-65.68101545590538	-41.910001743147674
4	-41.45344380529062	-88.63492177626723	-65.43121120044694	-40.931716128470114
5	-40.77503573451872	-88.63031158757195	-65.11177655394313	-40.166726369460136
6	-40.95612955941985	-88.63971368806398	-65.42485589256337	-40.9425393297602
7	-40.581252233407625	-88.63406981304807	-65.2351323048766	-40.552469603869994
8	-40.62831590186096	-88.62795180197912	-65.25618402550788	-40.62800562165003
9	-40.625053819671805	-88.64350023968295	-65.26632400386349	-40.62465943260596
10	-40.66538196714207	-88.64319453523368	-65.27999740343627	-40.66277944829428
