Iteration	BEGIN iteration	BEGIN iterationStartsListeners	END iterationStartsListeners	BEGIN replanning	END replanning	BEGIN beforeMobsimListeners	BEGIN dump all plans	END dump all plans	END beforeMobsimListeners	BEGIN mobsim	END mobsim	BEGIN afterMobsimListeners	END afterMobsimListeners	BEGIN scoring	END scoring	BEGIN iterationEndsListeners	BEGIN compare with counts	END compare with counts	END iterationEndsListeners	END iteration		iterationStartsListeners	replanning	dump all plans	beforeMobsimListeners	mobsim	afterMobsimListeners	scoring	compare with counts	iterationEndsListeners	iteration
0	09:02:41	09:02:41	09:02:41			09:02:41	09:02:41	09:02:41	09:02:41	09:02:41	09:02:52	09:02:52	09:02:52	09:02:52	09:02:52	09:02:52			09:02:54	09:02:54		00:00:00		00:00:00	00:00:00	00:00:10	00:00:00	00:00:00		00:00:02	00:00:13
1	09:02:54	09:02:54	09:02:54	09:02:54	09:02:54	09:02:54	09:02:54	09:02:55	09:02:55	09:02:55	09:03:09	09:03:09	09:03:09	09:03:09	09:03:09	09:03:09			09:03:09	09:03:09		00:00:00	00:00:00	00:00:00	00:00:00	00:00:14	00:00:00	00:00:00		00:00:00	00:00:15
2	09:03:10	09:03:10	09:03:10	09:03:10	09:03:10	09:03:10			09:03:10	09:03:10	09:03:21	09:03:21	09:03:21	09:03:21	09:03:21	09:03:21			09:03:21	09:03:21		00:00:00	00:00:00		00:00:00	00:00:11	00:00:00	00:00:00		00:00:00	00:00:11
3	09:03:21	09:03:21	09:03:21	09:03:21	09:03:21	09:03:21			09:03:21	09:03:21	09:03:29	09:03:29	09:03:29	09:03:29	09:03:29	09:03:29			09:03:30	09:03:30		00:00:00	00:00:00		00:00:00	00:00:07	00:00:00	00:00:00		00:00:00	00:00:08
4	09:03:30	09:03:30	09:03:30	09:03:30	09:03:30	09:03:30			09:03:30	09:03:30	09:03:37	09:03:37	09:03:37	09:03:37	09:03:37	09:03:37			09:03:38	09:03:38		00:00:00	00:00:00		00:00:00	00:00:07	00:00:00	00:00:00		00:00:00	00:00:08
5	09:03:38	09:03:38	09:03:38	09:03:38	09:03:38	09:03:38			09:03:38	09:03:38	09:03:46	09:03:46	09:03:46	09:03:46	09:03:46	09:03:46			09:03:46	09:03:46		00:00:00	00:00:00		00:00:00	00:00:07	00:00:00	00:00:00		00:00:00	00:00:08
6	09:03:46	09:03:46	09:03:46	09:03:46	09:03:46	09:03:46			09:03:46	09:03:46	09:03:54	09:03:54	09:03:54	09:03:54	09:03:54	09:03:54			09:03:55	09:03:55		00:00:00	00:00:00		00:00:00	00:00:07	00:00:00	00:00:00		00:00:00	00:00:08
7	09:03:55	09:03:55	09:03:55	09:03:55	09:03:55	09:03:55			09:03:55	09:03:55	09:04:02	09:04:02	09:04:02	09:04:02	09:04:02	09:04:02			09:04:03	09:04:03		00:00:00	00:00:00		00:00:00	00:00:07	00:00:00	00:00:00		00:00:00	00:00:08
8	09:04:03	09:04:03	09:04:03	09:04:03	09:04:03	09:04:03			09:04:03	09:04:03	09:04:10	09:04:10	09:04:10	09:04:10	09:04:10	09:04:10			09:04:11	09:04:11		00:00:00	00:00:00		00:00:00	00:00:07	00:00:00	00:00:00		00:00:00	00:00:07
9	09:04:11	09:04:11	09:04:11	09:04:11	09:04:11	09:04:11			09:04:11	09:04:11	09:04:19	09:04:19	09:04:19	09:04:19	09:04:19	09:04:19			09:04:19	09:04:19		00:00:00	00:00:00		00:00:00	00:00:07	00:00:00	00:00:00		00:00:00	00:00:07
10	09:04:19	09:04:19	09:04:19	09:04:19	09:04:19	09:04:19	09:04:19	09:04:19	09:04:19	09:04:19	09:04:27	09:04:27	09:04:27	09:04:27	09:04:27	09:04:27	09:04:27	09:04:27	09:04:28	09:04:28		00:00:00	00:00:00	00:00:00	00:00:00	00:00:07	00:00:00	00:00:00	00:00:00	00:00:00	00:00:08
